SPEED1,TOTAL,SPEED2,NUMBER2,SENS,TIME,T20BOLT
4,20,2,1,8,10.78,10.78
6,10,1,0,10,34.26,68.52
6,30,2,2,6,106.46,70.97
4,20,2,1,8,12.33,12.33
4,20,2,1,8,9.39,9.39
6,30,2,0,6,100.43,66.95
2,10,2,0,6,16.67,33.34
2,30,2,2,6,23.85,15.9
2,30,1,2,6,18.54,12.36
4,20,2,1,8,13.94,13.94
6,10,2,2,10,6.0,12.0
6,30,1,0,6,129.45,86.3
4,20,2,1,8,9.84,9.84
6,10,2,0,6,28.89,57.78
6,10,1,2,6,39.74,79.48
6,30,1,0,0,107.38,71.59
2,10,2,2,6,9.22,18.44
2,30,2,0,10,22.39,14.93
2,10,2,2,10,3.94,7.88
4,20,2,1,8,7.91,7.91
2,10,1,0,10,17.56,35.12
6,10,1,0,6,13.42,26.84
2,10,1,0,6,5.7,11.4
2,30,2,2,10,30.12,20.08
2,10,2,0,10,12.04,24.08
2,30,1,2,10,25.7,17.13
2,30,1,0,10,19.46,12.97
2,30,1,0,6,27.02,18.01
2,30,2,0,6,19.02,12.68
4,20,2,1,8,7.32,7.32
